Problem Size,Feasible Found,Solution Time (sec.),Setup Time (sec.)
3 x 20,Yes,0.70,0.56
3 x 20,Yes,0.52,0.47
3 x 20,Yes,0.48,0.47
3 x 20,Yes,0.53,0.45
3 x 20,Yes,0.53,0.43
4 x 30,Yes,0.73,0.64
4 x 30,Yes,0.73,0.63
4 x 30,Yes,0.74,0.63
4 x 30,Yes,0.70,0.59
4 x 30,Yes,0.79,0.60
5 x 40,Yes,0.88,0.65
5 x 40,Yes,1.10,0.87
5 x 40,Yes,0.88,0.66
5 x 40,Yes,0.91,0.68
5 x 40,Yes,0.79,0.58
5 x 50,Yes,1.17,0.61
5 x 50,Yes,0.94,0.58
5 x 50,Yes,0.94,0.59
5 x 50,Yes,0.98,0.61
5 x 50,Yes,1.10,0.57
6 x 50,Yes,1.38,0.74
6 x 50,Yes,1.20,0.75
6 x 50,Yes,1.21,0.71
6 x 50,Yes,2.28,1.16
6 x 50,Yes,1.62,0.86
6 x 60,Yes,2.16,0.73
6 x 60,Yes,1.23,0.77
6 x 60,Yes,1.62,0.69
6 x 60,Yes,1.84,0.75
6 x 60,Yes,1.47,0.70
7 x 60,Yes,28.13,0.78
7 x 60,Yes,29.37,0.83
7 x 60,Yes,20.61,1.06
7 x 60,Yes,63.78,0.73
7 x 60,Yes,17.98,0.89
7 x 70,Yes,25.03,0.82
7 x 70,Yes,78.61,0.94
7 x 70,Yes,23.13,0.73
7 x 70,Yes,116.01,0.84
7 x 70,Yes,4.87,0.89
