Problem Size,Feasible Found,Solution Time (sec.),Setup Time (sec.)
3 x 20,Yes,0.72,0.53
3 x 20,Yes,0.62,0.43
3 x 20,Yes,0.71,0.55
3 x 20,Yes,0.95,0.44
3 x 20,Yes,1.08,0.42
4 x 30,Yes,1.19,0.54
4 x 30,Yes,1.16,0.51
4 x 30,Yes,1.29,0.53
4 x 30,Yes,1.33,0.79
4 x 30,Yes,1.31,0.60
5 x 40,Yes,1.48,0.69
5 x 40,Yes,1.43,0.67
5 x 40,Yes,1.46,0.65
5 x 40,Yes,1.52,0.69
5 x 40,Yes,0.64,0.59
5 x 50,Yes,4.41,0.63
5 x 50,Yes,3.25,0.65
5 x 50,Yes,2.91,0.57
5 x 50,Yes,2.54,0.64
5 x 50,Yes,3.78,0.59
6 x 50,Yes,4.46,1.63
6 x 50,Yes,3.23,0.72
6 x 50,Yes,2.74,0.75
6 x 50,Yes,2.92,0.70
6 x 50,Yes,2.34,0.69
6 x 60,Yes,3.23,0.69
6 x 60,Yes,2.25,0.66
6 x 60,Yes,2.63,0.69
6 x 60,Yes,1.34,0.64
6 x 60,Yes,1.07,0.59
7 x 60,Yes,2.06,0.74
7 x 60,Yes,7.29,4.40
7 x 60,Yes,2.83,0.78
7 x 60,Yes,6.18,0.82
7 x 60,Yes,2.87,0.75
7 x 70,Yes,5.09,0.82
7 x 70,Yes,2.95,0.79
7 x 70,Yes,2.26,0.81
7 x 70,Yes,4.16,0.83
7 x 70,Yes,1.83,0.79
8 x 70,Yes,79.10,1.19
8 x 70,Yes,139.88,1.39
8 x 70,Yes,27.30,1.18
8 x 70,Yes,27.22,1.00
8 x 70,Yes,48.48,1.22
